address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
345 Bay Ridge Pkwy APT 1G,11209,1850,40.63133,-74.02622,,,1,,59,91,110
160 72nd St APT 727,11209,1995,40.63443,-74.03121,,,1,,49,55,110
534 72nd St #3,11209,3150,40.631035,-74.02086,,3,1,1100,55,88,110
255 74th St APT 6,11209,2150,40.632465,-74.02836,,1,1,750,53,89,110
2 Marine Ave APT 1,11209,2500,40.620472,-74.038376,,1,1,750,43,20,50
9437 Shore Rd APT F7,11209,3400,40.616833,-74.0381,,2,2,1200,44,28,35
609 Ovington Ave FLOOR 1,11209,4150,40.631516,-74.01843,,3,2,950,53,56,100
417 78th St #2,11209,5900,40.62848,-74.02515,,3,3,2000,61,83,110
476 85th St FLOOR 2,11209,2400,40.622227,-74.02627,,2,1,800,55,87,105
340 85th St #3,11209,3400,40.62383,-74.02955,,3,1,1000,57,92,105
