address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
20 Bentley Ln FLOOR 1,10307,1600,40.509594,-74.24818,,1,1,630,0,37,20
183 Brighton St #1,10307,1700,40.505802,-74.243614,,1,1,700,0,16,20
20 Bentley Ln,10307,1600,40.50959,-74.248184,,1,1,630,0,37,20
109 Carteret St #2,10307,1800,40.506035,-74.24748,,1,1,,0,18,20
203 Main St #3A,10307,2000,40.51026,-74.24744,,1,1,700,0,39,25
7302 Amboy Rd #1,10307,3000,40.51112,-74.24065,,3,2,1500,0,36,25
5378 Arthur Kill Rd #1,10307,2900,40.513195,-74.248,,3,2,1500,0,29,25
5448 Arthur Kill Rd FLOOR 2,10307,3300,40.511982,-74.25061,,3,1,950,0,27,25
47 Lion St FLOOR 1,10307,4300,40.516323,-74.23985,,3,4,2916,0,27,20
137 Main St,10307,2900,40.511562,-74.24898,,2,2,500,0,33,25
