address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
533 Beach 66th St,11692,3450,40.596035,-73.795784,,3,1,1000,32,18,45
192 Beach 74th St UNIT 1,11692,4000,40.588745,-73.8017,,3,2,2000,36,17,35
337 Beach 67th St #3,11692,3811,40.592155,-73.79642,,3,1,1000,41,34,50
6513 Ocean Ave S #B,11692,2300,40.589386,-73.794685,,1,1,650,39,26,45
6520 Beach Front Rd #A,11692,4200,40.588116,-73.79457,,3,3,1200,35,27,40
562 Beach 68th St FLOOR 2,11692,4800,40.596664,-73.79723,,5,2,,32,15,40
160 Beach 60th St #1,11692,3454,40.590878,-73.78932,,3,2,1193,37,19,35
6505 Bayfield Ave FLOOR 2,11692,3596,40.59909,-73.79585,,3,1,3600,25,6,30
357 Beach 69 St #2,11692,3454,40.592445,-73.79835,,3,2,1200,40,29,40
550 Beach 67th St FLOOR 1,11692,3500,40.596367,-73.79618,,3,2,400,32,16,45
