address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
1124 Stratford Ave APT 3D,10472,1498,40.82735,-73.87477,,1,1,700,28,75,105
1117 Fteley Ave FLOOR 2,10472,3770,40.827545,-73.871445,,3,1,1500,24,56,105
1113 Olmstead Ave FLOOR 2,10472,4000,40.829784,-73.854,,4,1,1000,13,67,105
1250 Manor Ave #3R,10472,2700,40.83067,-73.8765,,2,1,700,28,92,105
1243 Morrison Ave APT 1R,10472,3464,40.830746,-73.875175,,3,1,900,31,97,105
1242 Boynton Ave #2R,10472,4070,40.830147,-73.878296,,4,1,1100,31,75,105
1251 Morrison Ave APT 2F,10472,3700,40.831043,-73.87527,,3,1,800,31,90,105
1403 Saint Lawrence Ave FLOOR 2,10472,3811,40.834953,-73.868385,,3,2,,24,67,110
1162 Croes Ave,10472,3596,40.829124,-73.87027,,3,1,,25,62,105
1061 Olmstead Ave APT 3,10472,3454,40.828728,-73.85375,,3,2,,19,62,110
