address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
1921 Holland Ave #4D,10462,1900,40.84848,-73.86556,,1,1,700,7,48,85
1868 Holland Ave APT 4B,10462,1750,40.84766,-73.864784,,1,1,,8,41,85
1500 Metropolitan Ave #7H,10462,2700,40.83913,-73.85868,,2,1,767,21,55,92
1856 Paulding Ave FLOOR 2,10462,3200,40.850132,-73.856445,,3,1,1160,11,50,81
2061 Saint Raymonds Ave APT 1B,10462,2400,40.83772,-73.85554,,1,1,680,21,54,92
1840 Muliner Ave #2,10462,2800,40.847603,-73.86095,,2,1,825,4,41,81
1977 Birchall Ave #THE,10462,4448,40.84877,-73.8688,,5,1,,8,26,85
1370 Virginia Ave APT 3E,10462,3450,40.836685,-73.86269,,2,1,613,21,66,92
1820 Unionport Rd #3F,10462,3550,40.845394,-73.868454,,3,1,1600,12,72,81
1725 Paulding Ave FLOOR 2,10462,2750,40.847775,-73.855286,,2,1,1000,7,59,81
