address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
72-54 153rd St #2H,11367,1900,40.726803,-73.8146,,1,1,,19,39,70
150-10 71st Ave APT 1L,11367,1790,40.729145,-73.81745,,,1,580,23,34,80
71-02 Parsons Blvd #28A,11367,2790,40.7301,-73.8112,,1,1,700,16,35,55
144-30 Jewel Ave #1,11367,3980,40.730175,-73.82229,,3,2,2100,28,52,45
7043B Park Dr E #B,11367,2850,40.72676,-73.82946,,2,1,753,23,20,35
14611 61st Rd FL 2,11367,2400,40.741077,-73.8234,,2,1,666,24,42,40
6705 136th St #B,11367,2762,40.729183,-73.83041,,1,1,650,27,20,25
136-15 68th Dr,11367,2350,40.7303,-73.83086,,1,1,650,9,17,15
15341 77th Rd #1,11367,2600,40.723167,-73.81086,,2,1,1400,21,31,70
138-16 77th Ave #61C,11367,2300,40.721066,-73.822495,,1,1,780,24,22,45
