address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
344 E 55th St APT 3D,10022,3900,40.757095,-73.96467,,1,1,,63,99,75
239 E 53rd St #5IB,10022,2995,40.75725,-73.96774,,1,1,,69,91,75
357 E 58th St #2W,10022,3800,40.75917,-73.96262,,2,1,,65,97,75
315 E 56th St,10022,3550,40.758404,-73.96468,,1,1,,64,92,75
310 E 55th St #2AA,10022,4795,40.7575,-73.96563,,2,1,,65,91,75
343 E 51st St APT 2D,10022,4300,40.755028,-73.96635,,1,1,,65,88,75
415 E 54th St APT 14E,10022,5900,40.756153,-73.96301,,1,2,991,63,80,75
208 E 60th St APT 3,10022,5250,40.761745,-73.96568,,1,1,850,77,89,72
141 E 55th St APT 8A,10022,5995,40.759598,-73.96942,,2,2,,72,83,75
159 E 55th St APT 1B,10022,2900,40.75929,-73.96879,,,1,,72,84,75
