address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
50 West St FLOOR 1,10310,1900,40.632946,-74.11845,,2,1,,0,38,100
65 Bard Ave FLOOR 2,10310,2950,40.643574,-74.107994,,3,2,1400,5,8,5
280 Broadway FLOOR 2,10310,2900,40.634384,-74.11734,,2,1,1800,3,38,105
479 Clove Rd FLOOR 2,10310,3400,40.62894,-74.122505,,3,1,1400,5,25,95
32 Arcadia Pl FLOOR 2,10310,3300,40.627808,-74.123276,,3,1,1200,5,25,75
360 Broadway,10310,10000,40.632282,-74.11708,,,,,3,53,105
70 Barker St #2,10310,3811,40.635483,-74.12167,,3,1,1000,0,31,90
150 Manor Rd FLOOR 2,10310,3500,40.624348,-74.12509,,3,2,2156,1,22,15
511 Delafield Ave FLOOR 2,10310,2700,40.631104,-74.11576,,2,1,,3,53,95
427 Cary Ave FLOOR 1,10310,2700,40.632954,-74.11638,,3,1,,1,35,100
