address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
7115 21st Ave #1,11204,1900,40.611294,-73.987305,,1,1,800,41,62,100
2430 63rd St #36,11204,1800,40.61163,-73.9751,,1,3,,56,56,105
2214 64th St #47,11204,1990,40.61392,-73.980385,,1,1,,52,78,100
6112 23rd Ave #2R,11204,2600,40.614677,-73.97733,,2,1,800,57,53,100
2020 72nd St FLOOR 1,11204,3600,40.61205,-73.989586,,4,2,1428,43,51,105
2171 72nd St APT 1F,11204,2200,40.610336,-73.98583,,1,1,600,45,61,100
2126 74th St FLOOR 2,11204,2300,40.609516,-73.9884,,2,1,650,40,44,100
6217 20th Ave,11204,4500,40.61772,-73.984245,,,,,56,56,110
116 Avenue O,11204,5700,40.610325,-73.980705,,,,,51,65,105
7419 16th Ave #2F,11204,2700,40.61636,-74.00039,,3,1,950,49,67,105
