address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
63-46 60th Pl #2,11386,2650,40.71001,-73.90259,,2,1,900,63,54,115
1929 Woodbine St APT 2R,11386,2900,40.70521,-73.90421,,1,1,700,75,79,115
7141 68th St #2,11386,2999,40.702454,-73.884796,,3,1,1100,49,40,75
69-16 Forest Ave #1,11386,3500,40.70125,-73.900635,,1,1,1150,72,94,110
1672 Cornelia St #3,11386,4200,40.699364,-73.9063,,3,2,,75,97,110
1863 Himrod St #1L,11386,4394,40.707657,-73.91241,,4,2,,68,55,115
681 Evergreen Ave #4R,11386,2850,40.686916,-73.90906,,2,1,,80,46,105
60-80 Myrtle Ave UNIT 3O,11386,3000,40.700607,-73.89545,,2,1,,65,91,110
24 Covert St APT 1L,11386,2995,40.68541,-73.91305,,3,1,,85,75,105
1868 Madison St FLOOR 1,11386,3800,40.703342,-73.904594,,4,2,,75,69,110
