address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
13217 Maple Ave APT 406,11355,1900,40.75423,-73.832245,,1,1,645,31,59,81
14336 Barclay Ave APT 4H,11355,1775,40.75919,-73.822044,,,1,,31,63,77
14350 Barclay Ave APT 3A,11355,2150,40.759384,-73.821754,,1,1,700,31,54,77
150-46 Booth Memorial Ave #2,11355,2300,40.743404,-73.81661,,2,1,550,7,23,35
14431 41st Ave APT 1F,11355,2395,40.76114,-73.82052,,1,1,775,29,28,77
42-53 Saull St #3,11355,2500,40.75322,-73.829445,,3,1,1100,29,57,81
45-17 157th St,11355,4500,40.756184,-73.80898,,3,2,,7,36,65
13232 41st Ave #2B,11355,2500,40.75657,-73.832634,,1,1,2500,36,68,81
140-50 Ash Ave #6F,11355,2539,40.75573,-73.82246,,1,1,972,29,61,77
16 41st Ave #142-3B,11355,3000,40.76241,-73.815506,,2,2,828,23,72,65
