address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
266 67th St APT 1,11220,1895,40.637966,-74.02578,,1,1,,56,58,105
230 54th St APT 2R,11220,1995,40.64622,-74.01864,,1,1,,61,71,105
4702 5th Ave #3R,11220,3200,40.64682,-74.00894,,2,1,800,67,92,110
314 52nd St APT 3A,11220,2650,40.646202,-74.01562,,1,1,250,67,69,110
245 51st St #2,11220,3600,40.648006,-74.016174,,3,2,1000,63,66,110
229 57th St #2,11220,2600,40.644848,-74.020004,,2,1,800,59,72,105
249 61st St #3,11220,2550,40.642277,-74.02194,,2,1,1000,59,59,105
5502 5th Ave #1,11220,2300,40.642365,-74.01357,,2,1,700,65,99,110
564 52nd St #1,11220,3500,40.64278,-74.00994,,4,2,,63,80,115
6818 Owls Head Ct #3,11220,2000,40.63897,-74.03488,,1,1,,51,21,25
