address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
1717 E 34th St,11234,1500,40.61399,-73.9382,,,1,350,35,26,50
5317 Fillmore Ave #BASEMENT,11234,2350,40.61495,-73.922844,,2,1,800,43,35,54
1848 E 52nd St #1,11234,3495,40.61411,-73.9247,,1,1,1111,40,36,50
4017 Avenue U #2,11234,2100,40.60885,-73.92456,,2,1,600,31,34,27
2028 E 60th St FLOOR 2,11234,2600,40.615414,-73.916824,,2,1,900,39,33,23
4402 Avenue H,11234,5300,40.63227,-73.933945,,,,,39,27,50
2114 E 34th St #1,11234,3300,40.606716,-73.93085,,3,1,880,36,17,23
2222 Ryder St FLOOR 1,11234,2000,40.60731,-73.92527,,1,1,750,43,21,27
1628 E 32nd St FLOOR 2,11234,2700,40.613686,-73.94108,,2,1,1000,48,28,38
2119 E 34th St #2A,11234,3200,40.60688,-73.93028,,3,1,1400,36,19,27
