address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
45 Kew Gardens Rd APT 1M,11415,2350,40.712498,-73.82904,,1,1,850,47,71,70
83-33 118th St #5A,11415,3000,40.706253,-73.83442,,2,1,1100,49,67,80
12360 83rd Ave #7H,11415,2750,40.71169,-73.82626,,1,1,708,41,44,80
8330 Kew Gardens Rd #2R,11415,4000,40.709797,-73.8273,,2,3,1391,43,53,100
84-10 120th St #1D,11415,4400,40.704185,-73.83192,,3,2,2400,49,40,110
8056 Grenfell St,11415,7300,40.710823,-73.833855,,5,4,2982,45,46,80
8310 118th St APT 6D,11415,2750,40.706615,-73.83527,,2,1,1100,48,61,55
8333 Austin St APT 3H,11415,2900,40.708775,-73.82866,,2,1,,51,67,70
11714 Union Tpke APT EB2,11415,3200,40.71185,-73.83533,,2,2,,47,20,80
83-35 Lefferts Blvd UNIT 1Z,11415,2500,40.70504,-73.832245,,1,1,,52,55,110
