address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
502 W 213th St APT 2D,10034,1900,40.868412,-73.916756,,1,1,600,33,67,85
128 Sherman Ave APT 27,10034,1850,40.86434,-73.92438,,1,1,,29,84,81
153 Seaman Ave APT 5B,10034,1920,40.869102,-73.921745,,1,1,,27,72,81
57 Cooper St APT 4A,10034,1950,40.867924,-73.92269,,1,1,,27,82,81
152 Sherman Ave APT 27,10034,2000,40.864902,-73.92342,,1,1,,29,66,81
4848 Broadway APT 4G,10034,2100,40.866394,-73.92438,,1,1,,25,63,81
254 Seaman Ave #E1B0,10034,2700,40.872044,-73.91836,,2,1,,27,32,85
121 Sherman Ave #2B,10034,3295,40.86383,-73.92426,,3,1,,28,85,81
93 Park Ter W #2,10034,6000,40.87205,-73.916794,,4,2,1700,28,34,92
1781 Riverside Dr #1C,10034,3600,40.86702,-73.93056,,3,2,,19,48,85
