address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
20-12 Seagirt Blvd #1B,11691,1818,40.595715,-73.75553,,,1,376,19,34,81
11-27 Nameoke St #5R,11691,2099,40.605274,-73.74984,,1,1,645,20,43,81
2363 Brookhaven Ave APT 2,11691,3595,40.60009,-73.75995,,3,2,1400,31,22,81
233 Beach 19th St FLOOR 2,11691,3100,40.59626,-73.75348,,3,1,800,15,39,77
2512 Brookhaven Ave,11691,2702,40.599346,-73.761696,,2,1,600,33,24,69
1299 Brunswick Ave,11691,7300,40.608177,-73.7502,,5,4,3637,20,27,77
183 Beach 25th St #1,11691,3100,40.59442,-73.758606,,2,1,1000,20,20,54
561 Beach 44th St,11691,3200,40.600315,-73.77625,,3,1,1200,25,3,4
22-51 New Haven Ave #1,11691,3200,40.601143,-73.75741,,3,2,1580,27,42,81
10-40 McBride St #3,11691,3775,40.6034,-73.75771,,3,1,925,23,44,81
