address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
223 Sullivan St APT 2C,10012,3600,40.729477,-73.999535,,1,1,,95,100,110
230 Mulberry St APT 15,10012,3500,40.72245,-73.9958,,1,1,,99,93,97
172 Thompson St #14,10012,3595,40.727703,-74.00016,,1,1,,95,100,102
7 Minetta St #3F,10012,2695,40.729805,-74.0014,,,1,,96,100,110
116 W 3rd St #9,10012,4899,40.730316,-74.00038,,2,1,715,96,103,110
27 Prince St APT 12,10012,5000,40.723083,-73.99454,,2,1,,99,96,97
126 Macdougal St APT 1C,10012,4390,40.730034,-74.000336,,1,1,,96,104,110
284 Mulberry St APT 28,10012,4995,40.724472,-73.99504,,2,1,,100,102,97
246 Mott St #90,10012,4995,40.723293,-73.99468,,1,1,,99,96,97
131 Mercer St APT 5A,10012,15000,40.724396,-73.9991,,2,2,1710,97,110,102
