address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
456 E 149th St #C2,10455,1900,40.814865,-73.91533,,1,1,,44,84,85
600 Trinity Ave APT 1E,10455,1800,40.81408,-73.90948,,,1,,36,58,85
986 Leggett Ave APT 4D,10455,3100,40.814487,-73.900185,,2,1,950,35,50,85
494 Jackson Ave APT 4B,10455,3000,40.81184,-73.9093,,2,1,800,35,51,81
805 E 156th St APT 3,10455,2500,40.817867,-73.90384,,1,1,750,35,59,88
413 E 154th St #5H,10455,2650,40.819565,-73.91553,,1,1,650,47,73,88
504 E 147th St FLOOR 2,10455,4252,40.813316,-73.915535,,5,2,1540,40,66,85
581 Jackson Ave #6C,10455,3777,40.81403,-73.9091,,3,2,1000,36,59,85
534 E 148th St FLOOR 2,10455,3500,40.813686,-73.914345,,3,1,,41,68,85
594 Union Ave APT 2A,10455,2600,40.813915,-73.90476,,3,1,,40,47,81
