address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
327 Quincy Ave #1,10465,3750,40.818733,-73.82053,,3,2,1180,0,37,20
458 Swinton Ave APT 2,10465,3300,40.82088,-73.82226,,3,1,1000,0,30,20
815 Throggs Neck Expy FLOOR 3,10465,3200,40.829967,-73.8205,,3,1,850,0,35,35
1004 Balcom Ave #1,10465,2200,40.82859,-73.83206,,1,1,600,0,20,50
520 Ellsworth Ave APT 2A,10465,3500,40.82536,-73.814384,,2,1,950,0,23,30
518 Calhoun Ave #2,10465,3800,40.822365,-73.82117,,3,1,800,0,53,25
1109 Clarence Ave #2,10465,3800,40.835785,-73.81938,,3,2,1000,0,13,20
3333 Agar Pl #2,10465,2500,40.839237,-73.81719,,1,1,1100,0,2,5
732 Wilcox Ave,10465,3559,40.830036,-73.8162,,3,1,800,0,24,20
429 Revere Ave #2R,10465,3200,40.820896,-73.819756,,3,1,,0,50,25
