address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
2 Marine Ave APT 1,11252,2500,40.620472,-74.038376,,1,1,750,43,20,50
9437 Shore Rd APT F7,11252,3400,40.616833,-74.0381,,2,2,1200,44,28,35
476 85th St FLOOR 2,11252,2400,40.622227,-74.02627,,2,1,800,55,87,105
340 85th St #3,11252,3400,40.62383,-74.02955,,3,1,1000,57,92,105
233 88th St #2F,11252,3800,40.622627,-74.03313,,3,1,1200,52,97,105
9101 Shore Rd APT 511,11252,2595,40.621193,-74.039734,,1,1,800,40,20,30
326 85th St #2R,11252,3500,40.62392,-74.02994,,3,2,1400,56,88,105
267 94th St FLOOR 1,11252,3995,40.618313,-74.03384,,3,3,1500,51,78,100
215 97th St #2,11252,3900,40.616302,-74.03481,,3,2,1500,49,61,50
358 87th St FLOOR 1,11252,3850,40.62211,-74.02969,,3,1,1026,68,90,105
